,GENDER,EDUCATION,MARITAL STATUS,UNION MEMBERSHIP OF RESPONDENT,UNION MEMBERSHIP OF OTHERS IN HOUSEHOLD,CURRENT EMPLOYMENT STATUS,RELIGIOUS SERVICES ATTENDANCE,age,voted
384,1,2,1,2,2,1,4,58,1
385,1,3,4,2,2,1,2,24,0
386,2,3,1,2,2,1,6,47,1
387,2,3,1,2,2,8,1,45,1
388,1,5,4,2,2,1,2,31,1
389,2,2,4,2,2,1,2,67,1
390,1,7,1,2,1,1,4,54,1
391,1,4,4,2,2,1,1,34,1
392,2,3,4,2,2,1,1,34,0
393,2,1,1,2,2,7,6,51,1
394,2,4,4,2,1,8,1,38,1
395,1,4,1,2,2,1,2,52,1
396,2,3,1,2,2,8,1,31,1
397,1,2,1,1,1,5,2,38,1
398,2,6,4,1,2,1,5,45,1
399,2,4,1,2,2,1,5,58,1
400,1,2,1,2,2,1,5,35,1
401,1,2,1,1,2,7,2,70,1
402,1,2,1,2,2,1,4,57,1
403,2,2,1,2,2,7,6,81,1
404,1,1,4,2,2,1,1,63,1
405,1,1,2,2,2,7,4,76,1
406,2,1,2,2,2,8,5,82,1
407,1,4,4,2,2,1,5,32,1
408,1,6,1,2,2,1,6,46,1
409,2,3,4,2,2,1,2,28,0
410,1,2,2,2,2,7,1,76,1
411,2,3,4,2,2,8,1,27,0
412,2,2,1,2,2,7,5,75,1
413,2,4,4,2,1,5,6,38,1
414,1,3,4,2,2,1,1,24,0
415,1,4,1,2,2,1,1,48,1
416,1,5,4,2,1,1,6,45,1
417,2,3,1,2,1,8,6,26,0
418,1,5,3,2,2,1,2,51,1
419,2,3,4,2,2,1,2,48,1
420,2,1,2,2,2,7,4,79,1
421,2,2,1,2,2,8,6,78,0
422,1,4,1,2,2,1,1,65,1
423,2,7,4,2,2,6,4,25,0
424,1,3,4,2,2,1,6,27,0
425,2,3,4,2,2,1,2,28,1
426,2,6,4,2,2,1,3,32,1
427,2,4,1,2,2,8,1,32,1
428,2,4,4,2,2,8,3,33,1
429,1,3,4,2,2,1,2,45,1
430,1,4,1,2,2,1,3,46,1
431,1,5,1,2,2,5,5,35,1
432,2,4,1,2,1,8,2,47,1
433,2,5,1,2,2,5,3,38,1
434,1,6,1,2,2,1,3,62,1
435,1,4,4,2,1,1,1,26,0
436,1,3,4,2,1,5,1,30,1
437,1,2,4,2,2,6,2,25,0
438,1,1,1,2,2,7,2,78,1
439,2,6,4,1,1,1,5,36,1
440,2,5,4,2,2,5,1,27,0
441,1,4,3,2,2,7,2,71,1
442,2,4,1,2,2,1,6,60,1
443,1,4,1,1,2,1,6,37,1
444,2,2,4,2,2,1,1,30,0
445,1,3,1,2,2,1,2,32,1
446,1,4,4,2,2,6,2,31,1
447,2,1,1,2,2,7,6,49,0
448,2,5,3,2,2,7,2,71,1
449,1,4,1,1,1,1,1,66,1
450,1,5,4,2,2,1,2,40,1
451,2,4,4,2,2,6,3,24,0
452,1,3,4,1,2,1,1,69,1
453,1,7,4,2,2,1,1,59,1
454,2,5,1,2,2,1,4,47,0
455,2,3,1,2,2,1,2,62,1
456,2,2,2,2,2,8,1,81,1
457,2,5,4,2,1,10,6,37,1
458,2,6,1,2,2,8,3,30,1
459,1,4,1,2,2,1,1,34,1
460,2,6,1,2,1,6,2,36,1
461,2,5,4,2,1,6,3,29,1
462,1,3,1,2,2,7,2,47,1
463,2,4,1,2,2,1,1,47,1
464,2,5,2,1,1,7,6,86,1
465,2,1,3,2,2,7,2,70,0
466,2,6,3,2,2,1,2,45,1
467,2,1,2,2,2,7,6,86,0
468,1,2,1,1,2,1,1,69,1
469,1,5,4,2,2,6,3,24,0
470,1,5,3,2,2,1,2,46,1
471,2,3,1,2,2,8,6,31,1
472,2,5,1,2,1,8,4,38,1
473,1,2,1,2,2,1,6,66,1
474,1,4,1,2,2,1,2,64,1
475,1,4,1,1,2,1,1,46,1
476,1,2,1,2,2,1,1,73,1
477,2,1,2,2,2,8,6,82,1
478,2,3,4,2,2,10,6,24,0
479,1,4,3,2,2,1,2,58,1
480,2,5,4,2,2,1,5,25,0
481,1,7,1,2,2,1,1,31,1
482,1,5,4,2,2,1,1,47,1
483,1,4,4,2,2,5,1,32,1
484,1,4,1,2,2,1,1,46,1
485,1,2,2,2,2,7,1,82,1
486,1,1,1,2,2,7,1,71,0
487,2,3,1,2,2,8,3,75,1
488,1,1,4,2,2,1,3,63,1
489,2,1,1,2,2,8,6,50,0
490,1,3,4,2,2,1,2,52,1
491,1,2,4,2,2,1,1,52,1
492,2,4,1,2,2,1,3,34,1
493,1,2,3,1,2,1,1,57,1
494,2,4,1,2,2,1,1,29,1
495,2,3,4,1,1,1,6,64,1
496,2,3,4,2,2,1,1,43,1
497,1,4,2,2,2,1,1,59,0
498,2,2,3,2,1,1,5,62,1
499,2,3,4,2,2,1,5,72,1
500,2,3,4,2,2,1,2,30,1
501,2,4,1,2,2,5,1,34,1
502,1,4,4,1,2,1,1,40,1
503,2,2,2,2,2,8,4,66,1
504,2,3,4,2,2,1,2,24,1
505,1,4,1,2,1,1,4,74,0
506,2,2,1,2,2,8,1,38,0
507,2,3,4,2,2,1,1,53,1
508,2,1,4,1,1,8,4,29,1
509,1,1,1,2,2,1,4,70,1
510,2,8,1,1,2,1,1,57,1
511,2,5,4,2,1,1,6,28,1
512,2,1,1,1,1,7,4,84,0
513,2,1,4,2,2,1,1,29,1
514,2,4,4,2,2,8,1,24,0
515,2,5,4,2,2,1,5,45,1
516,1,8,1,2,2,1,6,51,1
517,1,2,1,2,1,5,1,58,1
518,1,2,3,2,2,1,2,42,1
519,1,5,1,2,2,1,1,43,1
520,1,4,1,1,2,1,4,56,1
521,2,3,2,1,2,1,4,59,1
522,1,1,1,2,2,1,6,53,1
523,2,5,1,2,2,6,3,26,1
524,1,4,4,2,2,1,5,49,1
525,1,2,1,2,2,1,2,30,1
526,2,2,3,2,2,1,2,57,1
527,2,2,4,2,2,7,3,67,1
528,2,3,1,2,2,1,4,32,1
529,2,4,1,2,1,1,6,56,1
530,1,4,4,2,2,1,1,36,1
531,1,3,4,2,1,1,1,31,1
532,2,7,1,1,2,1,6,45,1
533,2,4,4,2,2,8,4,25,0
534,2,2,4,2,2,1,6,36,0
535,1,3,1,2,2,1,1,49,1
536,1,4,4,2,2,6,1,24,0
537,1,8,2,2,2,1,1,67,1
538,2,5,4,2,2,6,5,32,0
539,1,3,1,2,2,1,1,39,1
540,1,2,1,1,2,7,4,72,1
541,1,2,2,2,2,7,4,77,1
542,2,3,1,2,2,1,3,51,1
543,2,2,2,2,2,7,4,82,1
544,1,3,1,2,2,1,5,31,1
545,1,4,1,2,2,1,1,44,1
546,2,2,3,2,2,1,2,64,1
547,1,3,1,2,2,1,2,46,1
548,2,4,1,2,2,1,3,43,1
549,1,3,1,2,2,5,4,59,1
550,2,1,1,2,2,8,2,68,1
551,2,3,1,2,2,8,1,26,1
552,2,4,1,2,2,8,1,38,1
553,1,2,1,2,2,7,3,75,1
554,2,3,1,2,2,8,3,33,1
555,2,2,1,2,2,8,1,54,1
556,1,4,4,2,2,1,2,32,1
557,1,2,1,2,2,7,3,67,0
558,2,6,1,2,2,1,1,34,1
559,2,3,4,2,2,6,2,25,0
560,2,4,1,2,2,1,1,38,1
561,2,2,1,2,2,8,2,67,1
562,1,4,4,2,2,1,1,34,0
563,2,4,1,2,2,8,1,50,1
564,1,4,4,2,2,6,2,25,0
565,1,3,1,2,2,1,4,46,1
566,2,4,4,2,2,6,1,27,0
567,2,1,1,2,2,8,2,69,0
568,1,6,4,2,2,6,2,32,1
569,2,1,1,2,2,7,2,67,1
570,2,7,3,2,2,1,1,55,1
571,2,5,4,2,2,6,1,27,0
572,1,4,4,2,2,1,4,24,0
573,2,2,2,2,2,10,6,85,0
574,2,2,2,2,2,7,6,79,0
575,2,4,1,2,2,5,5,35,1
576,1,2,1,2,2,7,3,77,1
577,2,2,2,2,2,7,4,88,0
578,1,4,1,2,2,1,1,40,0
579,1,3,4,2,2,1,1,42,1
580,1,4,4,2,2,1,2,33,1
581,2,2,1,2,2,1,6,56,1
582,1,4,1,2,1,5,1,28,0
583,1,2,4,2,2,1,2,69,1
584,2,1,1,2,2,7,4,78,1
585,2,1,2,2,2,7,2,80,1
586,2,4,1,2,2,8,6,46,1
587,2,2,2,2,2,7,6,60,1
588,2,6,1,2,2,1,3,54,1
589,1,3,1,2,2,10,3,64,1
590,2,4,1,2,2,1,1,46,1
591,2,3,1,2,2,8,1,38,0
592,2,2,2,2,2,7,6,81,1
593,1,5,4,2,2,6,6,29,0
594,1,2,1,2,2,1,3,66,1
595,1,3,4,2,2,1,2,25,0
596,2,4,3,2,2,1,1,46,1
597,1,5,1,2,2,1,1,33,1
598,1,4,3,2,2,1,3,59,1
599,2,4,1,2,2,10,3,31,1
600,2,3,1,2,2,8,2,47,1
601,1,5,1,2,2,1,4,68,1
602,1,4,1,2,2,1,1,51,1
603,2,2,2,2,2,7,2,65,1
604,1,3,1,2,2,7,4,89,0
605,1,5,1,2,2,1,2,68,1
606,1,4,1,2,2,1,1,64,1
607,2,4,1,2,2,1,1,31,1
608,2,2,4,2,2,1,4,38,1
609,1,4,4,2,2,1,1,41,1
610,2,5,4,2,2,6,2,24,0
611,2,3,4,2,2,6,3,24,0
612,1,2,4,2,2,1,1,71,1
613,1,3,3,2,2,1,1,46,1
614,2,4,1,2,2,1,6,56,1
615,2,2,1,2,2,1,6,60,1
616,1,2,2,2,2,1,1,65,1
617,2,3,4,2,2,1,4,32,1
618,2,7,1,1,1,1,1,38,1
619,1,3,1,2,2,1,2,41,1
620,1,2,1,2,2,1,1,60,1
621,1,4,1,1,2,1,1,35,1
622,2,4,2,2,2,1,2,79,1
623,1,4,3,2,1,1,6,68,1
624,2,1,3,2,2,1,6,37,1
625,2,4,4,2,2,1,1,30,0
626,2,1,1,2,2,8,6,40,1
627,1,2,1,2,2,1,2,50,1
628,2,2,2,2,2,7,2,97,0
629,2,5,1,2,2,5,1,31,1
630,1,3,1,1,1,1,3,47,1
631,2,3,1,2,2,7,1,71,1
632,1,7,1,2,2,1,3,59,1
633,2,4,1,2,2,7,3,73,1
634,2,3,1,2,2,8,5,28,1
635,1,2,1,2,2,7,6,52,1
636,2,3,1,2,2,10,3,48,1
637,2,2,4,2,2,8,2,56,1
638,2,5,1,2,2,6,1,35,1
639,1,5,4,2,2,1,1,32,0
640,2,1,1,2,2,10,3,74,1
641,1,6,4,2,2,1,2,33,1
642,2,7,1,2,2,1,4,46,1
643,2,6,1,2,2,7,5,69,1
644,1,5,4,2,2,6,2,24,1
645,2,3,1,2,2,1,1,50,1
646,2,6,2,2,2,7,6,66,1
647,1,4,4,2,2,1,1,26,0
648,2,3,1,2,1,8,5,42,1
649,1,6,1,1,1,1,3,36,1
650,2,1,1,2,2,5,3,61,1
651,2,2,3,2,1,8,1,66,1
652,2,2,1,2,2,1,4,50,1
653,2,6,2,2,2,7,2,69,1
654,2,2,1,2,2,8,5,58,1
655,1,6,1,2,2,1,1,58,1
656,2,2,2,2,2,1,6,62,1
657,2,8,1,2,2,1,5,67,1
658,2,2,4,2,2,8,4,41,1
659,2,1,2,2,2,7,4,76,1
660,1,4,1,2,2,1,1,45,1
661,2,4,1,2,2,1,3,56,0
662,2,2,1,2,2,8,1,46,1
663,2,4,1,2,2,1,1,32,1
664,2,4,4,2,2,8,1,29,1
665,1,7,3,1,2,1,2,64,1
666,2,4,4,2,2,8,4,47,1
667,1,1,1,1,2,1,6,60,1
668,2,3,3,2,2,1,4,49,1
669,1,2,1,2,2,1,2,39,1
670,2,4,1,2,2,1,2,45,1
671,2,3,1,2,2,1,2,26,0
672,1,4,4,2,2,1,1,39,1
673,2,2,2,2,2,7,6,44,1
674,1,1,2,2,2,1,2,74,1
675,2,2,2,2,2,7,3,81,0
676,1,4,1,2,1,1,6,44,1
677,2,2,3,2,2,7,1,82,0
678,1,4,4,2,2,1,3,33,1
679,2,1,1,2,2,8,6,68,1
680,2,2,1,2,2,8,6,50,1
681,2,5,1,2,2,1,1,28,1
682,2,3,1,2,2,1,1,70,1
683,1,2,3,2,2,5,1,62,1
684,1,3,4,2,2,10,1,32,1
685,2,1,1,2,2,8,1,79,1
686,2,4,2,2,2,7,2,75,1
